ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,parallax_over_error,ra_dec_corr,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,bp_g,g_rp
261.909753,0.088507,58.263091,0.095152,0.047313,0.127013,-0.217188,0.138455,-0.045794,0.093097,-0.491894,0.240080,1380.633474,17.837172,563.802046,18.460726,1126.161494,17.118895,1.341831,0.623554,0.718277
260.762138,0.093245,57.458133,0.092188,0.094262,0.142202,-0.304380,0.116596,0.081173,0.095431,0.850596,0.006845,937.436868,18.257511,421.276993,18.777122,744.531422,17.568188,1.208935,0.519611,0.689323
260.628308,0.237035,57.596155,0.243924,0.365421,0.343603,0.348706,0.347323,-0.117443,0.249041,-0.471584,0.071810,254.763024,19.672026,122.359568,20.119448,180.109116,19.109056,1.010391,0.447422,0.562969
260.515676,0.058770,57.691281,0.059690,0.149663,0.075194,-0.181550,0.079940,0.028798,0.063715,0.451983,0.148934,2231.651085,17.315802,900.980009,17.951754,1879.997332,16.562502,1.389252,0.635952,0.753300
260.755085,0.221556,57.782224,0.238558,-0.069853,0.287514,0.015698,0.303493,-0.239883,0.254184,-0.943737,-0.042713,336.808610,19.368910,157.076880,19.848261,251.279199,18.747503,1.100758,0.479351,0.621407
259.678986,0.073114,57.647126,0.073369,0.117609,0.089216,-0.098656,0.103218,-0.228237,0.077798,-2.933719,0.086206,1774.980415,17.564383,737.538249,18.169081,1465.278402,16.833096,1.335985,0.604698,0.731287
259.554193,0.096540,57.712916,0.112870,-0.063476,0.116515,-0.345081,0.139702,0.038897,0.102100,0.380974,0.092310,1158.141504,18.027964,498.317994,18.594776,940.094211,17.314966,1.279810,0.566813,0.712997
258.924735,0.248161,57.618180,0.261477,0.333010,0.334811,-0.583517,0.352755,0.236077,0.254892,0.926183,-0.010109,326.659577,19.402128,134.937641,20.013210,251.508488,18.746513,1.266697,0.611082,0.655615
259.390202,0.194467,57.683873,0.209255,0.248310,0.228095,0.120599,0.270714,0.028849,0.187128,0.154167,0.205313,392.783842,19.201982,176.159605,19.723776,290.991687,18.588194,1.135582,0.521793,0.613789
259.412685,0.302177,57.721426,0.343188,-0.125341,0.356526,0.654273,0.412118,-0.026893,0.304001,-0.088464,0.191162,228.506015,19.790123,115.682795,20.180370,164.129862,19.209927,0.970444,0.390247,0.580196
259.330557,0.389480,57.715987,0.418748,0.112455,0.472713,-0.118697,0.548791,-0.202468,0.385475,-0.525242,0.187857,163.379091,20.154375,83.550980,20.533663,112.769782,19.617414,0.916248,0.379288,0.536961
259.442365,0.080920,57.706067,0.092050,0.004677,0.098884,-0.282927,0.112969,-0.075340,0.080767,-0.932807,0.206505,1641.755692,17.649096,681.741884,18.254492,1371.580383,16.904842,1.349649,0.605396,0.744253
259.627263,0.091390,57.862960,0.114412,-0.175158,0.125076,-0.403618,0.170072,0.088860,0.111194,0.799142,0.230178,987.345790,18.201193,435.382794,18.741364,777.093300,17.521713,1.219650,0.540171,0.679480
259.370191,0.500874,57.822040,0.608465,0.416612,0.648024,0.745258,0.913693,1.054155,0.544185,1.937125,0.133042,117.903548,20.508549,63.702028,20.828159,68.974526,20.151175,0.676985,0.319611,0.357374
259.231740,0.067773,57.787975,0.069766,-0.083891,0.090881,-0.236225,0.093221,-0.173202,0.069704,-2.484836,0.096295,1684.760671,17.621021,731.011229,18.178732,1367.744062,16.907883,1.270849,0.557711,0.713139
259.544771,0.185223,57.841932,0.248531,-0.074159,0.243535,0.284363,0.293735,-0.158736,0.211396,-0.750893,0.198163,358.457270,19.301273,174.065650,19.736759,260.414653,18.708733,1.028027,0.435486,0.592541
259.503290,0.259687,57.856614,0.327526,-0.564453,0.352200,-0.515200,0.430533,-0.044584,0.288813,-0.154368,0.198478,239.016212,19.741299,124.996924,20.096294,157.531312,19.254478,0.841816,0.354996,0.486820
259.543285,0.041596,57.869169,0.057825,0.082562,0.059605,-0.282583,0.072156,-0.003364,0.046657,-0.072101,0.181711,4360.217674,16.588596,1622.632671,17.312992,3915.373415,15.765963,1.547029,0.724396,0.822634
259.593025,0.199951,57.896383,0.245533,0.105802,0.275450,0.042594,0.368016,-0.197380,0.242129,-0.815185,0.174408,329.049563,19.394213,161.420713,19.818644,246.036004,18.770399,1.048244,0.424431,0.623814
259.485350,0.147250,57.900192,0.178920,-0.140480,0.191308,-0.088344,0.225265,-0.066128,0.155033,-0.426540,0.190951,527.256473,18.882313,240.263918,19.386822,409.503657,18.217251,1.169571,0.504509,0.665062
259.448119,0.402607,57.907769,0.452335,-0.925006,0.458325,-0.310028,0.599387,0.737294,0.417546,1.765778,0.272392,185.828070,20.014589,100.205104,20.336317,115.952838,19.587193,0.749125,0.321728,0.427397
259.574309,0.254359,57.938111,0.310672,-0.519511,0.317120,-0.429723,0.386783,0.254473,0.273947,0.928913,0.299227,273.497881,19.594982,142.079715,19.957212,195.871805,19.017965,0.939247,0.362230,0.577017
259.055776,0.295523,57.754214,0.310082,-0.486902,0.371528,-0.143705,0.384219,0.127559,0.302900,0.421126,0.111037,219.200851,19.835260,107.747104,20.257528,154.281784,19.277109,0.980419,0.422268,0.558151
259.115802,0.040963,57.802378,0.042175,0.012883,0.055311,-0.245642,0.055282,0.012944,0.041460,0.312199,0.093670,4126.813525,16.648331,1527.699176,17.378448,3701.755490,15.826877,1.551572,0.730118,0.821454
258.908322,0.305407,57.751171,0.334717,0.026829,0.396580,1.161176,0.479604,-0.171277,0.335168,-0.511020,0.078356,228.705859,19.789173,113.115668,20.204735,160.471469,19.234402,0.970333,0.415562,0.554771
259.332560,0.146743,57.960948,0.166562,-0.190248,0.202298,-0.007168,0.220792,0.190121,0.161567,1.176729,-0.037742,570.364834,18.796986,261.098059,19.296534,414.100792,18.205130,1.091404,0.499548,0.591856
259.431108,0.265163,57.954289,0.280786,0.044533,0.361933,-0.324320,0.350082,0.662839,0.276884,2.393923,0.106720,228.232374,19.791424,98.996951,20.349487,170.051626,19.171444,1.178043,0.558064,0.619980
259.480724,0.078572,57.933088,0.094725,0.012989,0.110623,-0.147201,0.122578,0.012373,0.084683,0.146114,0.200418,1431.970374,17.797531,623.835189,18.350868,1145.327146,17.100571,1.250298,0.553337,0.696960
259.499678,0.292301,57.944908,0.350349,-0.669726,0.397422,-0.605141,0.461737,0.238425,0.319440,0.746384,0.258732,210.265490,19.880447,91.479731,20.435230,154.153364,19.278013,1.157217,0.554783,0.602434
259.410827,0.081969,57.981825,0.090837,0.061671,0.110898,-0.253225,0.116106,-0.005263,0.089428,-0.058857,0.108521,1138.863094,18.046188,515.945650,18.557032,897.682036,17.365089,1.191942,0.510843,0.681099
259.526165,0.122142,58.032055,0.151459,0.004606,0.176338,0.127411,0.210376,-0.071692,0.140895,-0.508832,0.168976,659.188303,18.639843,308.074864,19.116901,462.931255,18.084105,1.032797,0.477058,0.555738
259.533601,0.043926,58.029682,0.055978,0.152768,0.060766,-0.051795,0.076862,0.001359,0.050595,0.026854,0.156893,3705.712944,16.765188,1413.932099,17.462471,3263.692022,15.963623,1.498848,0.697283,0.801565
259.168553,0.072646,57.918880,0.079806,0.031966,0.095485,-0.037141,0.107501,-0.157254,0.079270,-1.983771,0.106597,1434.778379,17.795404,612.054796,18.371567,1166.337673,17.080835,1.290731,0.576162,0.714569
259.292497,0.297163,57.973479,0.327328,-0.092255,0.397760,-0.466561,0.432367,-0.260289,0.325272,-0.800220,0.100240,234.093085,19.763895,118.069909,20.158194,179.722618,19.111389,1.046804,0.394299,0.652506
259.294465,0.184962,57.994682,0.203344,0.217464,0.247559,-0.585281,0.257649,-0.711224,0.200211,-3.552375,0.156916,380.093240,19.237642,173.539288,19.740047,270.213586,18.668627,1.071421,0.502405,0.569016
259.421999,0.073027,58.012176,0.077158,0.130161,0.096893,-0.193223,0.100137,-0.103451,0.079070,-1.308349,0.112772,1366.226126,17.848560,617.822130,18.361383,1063.129856,17.181429,1.179955,0.512823,0.667131
259.337191,0.086385,58.032571,0.095210,-0.030273,0.115974,-0.144621,0.122882,-0.012613,0.094404,-0.133605,0.123979,1030.128844,18.155138,458.291124,18.685688,816.175925,17.468435,1.217253,0.530550,0.686703
259.410727,0.043088,58.077510,0.048378,-0.025388,0.056435,-0.277194,0.061531,0.016115,0.048030,0.335513,0.118929,3386.417542,16.863016,1330.285299,17.528681,2911.604483,16.087564,1.441116,0.665665,0.775452
259.517379,0.343590,58.102137,0.365995,0.103289,0.490365,-0.538687,0.491868,-0.411568,0.380792,-1.080820,0.101775,168.923948,20.118139,70.701434,20.714972,120.587921,19.544636,1.170336,0.596832,0.573503
259.493253,0.079098,58.099777,0.085059,-0.115846,0.103078,-0.020922,0.107814,-0.010495,0.089463,-0.117308,0.025377,1358.093375,17.855043,580.291451,18.429426,1100.117821,17.144297,1.285130,0.574383,0.710747
259.979424,0.209970,57.550054,0.190762,0.671458,0.305711,-0.000554,0.280976,0.287580,0.196775,1.461472,0.077722,348.054028,19.333250,163.502138,19.804733,265.539634,18.687572,1.117161,0.471483,0.645678
260.040274,0.486493,57.582623,0.397790,0.163901,0.701108,0.310148,0.612265,0.540365,0.420055,1.286415,0.168893,148.133735,20.260733,77.965667,20.608784,103.088290,19.714872,0.893911,0.348051,0.545860
260.213149,0.120089,57.637256,0.111820,0.025595,0.156359,-0.284193,0.162497,-0.172137,0.118144,-1.457012,0.197594,830.835859,18.388578,376.000688,18.900570,640.790581,17.731106,1.169464,0.511992,0.657473
259.882808,0.074678,57.559642,0.069922,0.168289,0.105256,-0.249238,0.096041,-0.174839,0.074614,-2.343247,0.091871,1648.802781,17.644445,716.168354,18.201004,1354.160495,16.918720,1.282284,0.556559,0.725725
260.092438,0.310820,57.697742,0.317553,-0.374221,0.385487,-1.316840,0.470703,0.489047,0.344546,1.419396,0.040336,196.672453,19.953009,104.504040,20.290710,133.133269,19.437180,0.853531,0.337702,0.515829
260.104290,0.313592,57.741929,0.324134,0.077393,0.371610,0.126921,0.455498,-0.179308,0.328646,-0.545597,0.150737,171.931899,20.098976,100.603858,20.332006,114.793836,19.598099,0.733908,0.233030,0.500877
260.265378,0.236714,57.665066,0.230737,-0.260235,0.315518,-0.832073,0.346341,0.187123,0.241181,0.775864,0.179388,294.386169,19.515074,144.228435,19.940914,206.356786,18.961349,0.979565,0.425840,0.553724
260.515007,0.123804,57.751994,0.125025,-0.037908,0.164297,-0.141986,0.165965,-0.020854,0.134091,-0.155522,0.153934,732.699619,18.525051,323.346406,19.064373,555.624252,17.885942,1.178431,0.539322,0.639109
260.612997,0.141820,57.765093,0.139095,-0.254589,0.189824,-0.182225,0.181345,0.043653,0.163398,0.267159,0.000903,661.013606,18.636841,302.947786,19.135122,500.731317,17.998884,1.136238,0.498281,0.637957
260.599729,0.358347,57.768058,0.334232,0.238449,0.456450,-0.306995,0.423303,-0.120599,0.364286,-0.331056,0.089752,193.982120,19.967962,91.268175,20.437744,129.620162,19.466213,0.971531,0.469782,0.501749
260.297749,0.305433,57.741007,0.289255,-0.081662,0.345342,-0.015542,0.374730,0.248964,0.333541,0.746427,0.059794,226.968219,19.797455,122.756162,20.115934,162.748977,19.219099,0.896835,0.318480,0.578356
260.231346,0.104989,57.742865,0.106365,0.097753,0.127195,-0.154676,0.152458,0.060939,0.111558,0.546252,0.106999,769.680012,18.471592,329.729655,19.043148,592.942308,17.815365,1.227783,0.571556,0.656227
260.389002,0.234727,57.774463,0.247115,0.293595,0.274650,-0.554440,0.334565,0.122539,0.260924,0.469636,0.051394,260.137530,19.649359,123.055706,20.113287,184.829092,19.080969,1.032318,0.463928,0.568390
260.414026,0.068452,57.777794,0.068439,0.221938,0.086360,-0.103880,0.098276,-0.006771,0.071989,-0.094049,0.109293,1712.771786,17.603119,690.196383,18.241110,1423.800803,16.864273,1.376837,0.637991,0.738846
260.418144,0.049888,57.792217,0.046924,0.079533,0.061084,-0.046785,0.064341,-0.083997,0.050305,-1.669756,0.024165,3166.538595,16.935905,1226.405456,17.616957,2773.691639,16.140249,1.476707,0.681051,0.795656
260.241905,0.162543,57.774417,0.168162,0.279652,0.195822,-0.233402,0.242448,-0.067219,0.175695,-0.382589,0.052580,418.845198,19.132233,195.305185,19.611757,322.527527,18.476479,1.135279,0.479525,0.655754
260.293313,0.086939,57.798127,0.084241,-0.025351,0.104387,-0.041968,0.116328,0.019145,0.090893,0.210633,0.131967,1159.712752,18.026491,508.935161,18.571886,947.431755,17.306526,1.265360,0.545395,0.719965
260.268651,0.334371,57.788258,0.316234,0.187587,0.428149,0.511283,0.430809,-0.166602,0.351321,-0.474216,0.083681,182.904501,20.031805,92.902925,20.418468,105.726004,19.687441,0.731028,0.386663,0.344364
260.246640,0.167679,57.794775,0.169788,0.104502,0.196750,-0.046823,0.238516,-0.090174,0.177955,-0.506723,0.120584,455.557450,19.041010,210.995586,19.527859,328.027380,18.458120,1.069738,0.486849,0.582890
260.327552,0.294006,57.795454,0.295440,0.249665,0.376714,0.010590,0.416417,-0.542763,0.313298,-1.732420,0.058667,184.778087,20.020741,95.308676,20.390711,109.986812,19.644545,0.746166,0.369970,0.376196
260.376147,0.059008,57.837857,0.053035,0.037675,0.067989,-0.027742,0.071041,0.030271,0.060872,0.497297,0.041130,2666.332552,17.122581,1064.388723,17.770792,2296.893797,16.345043,1.425749,0.648211,0.777538
260.454908,0.120197,57.893621,0.106422,0.103739,0.138532,-0.308955,0.149824,-0.237687,0.126024,-1.886040,0.019377,902.580786,18.298651,408.431330,18.810745,715.298043,17.611677,1.199068,0.512094,0.686974
260.544593,0.062027,57.899266,0.054880,0.023529,0.073873,-0.139760,0.070669,-0.026164,0.062914,-0.415863,-0.016472,2814.031566,17.064045,1127.754953,17.708006,2412.658066,16.291656,1.416349,0.643961,0.772388
259.743265,0.174505,57.624293,0.175980,-0.587899,0.223617,-0.284380,0.258688,-0.077082,0.181975,-0.423587,0.023012,429.066443,19.106056,199.256662,19.590010,323.113490,18.474508,1.115501,0.483953,0.631548
259.711914,0.168238,57.693717,0.176196,-0.442675,0.214347,-0.027700,0.254083,-0.141801,0.177051,-0.800904,0.130916,433.342134,19.095289,205.738447,19.555254,323.389451,18.473581,1.081673,0.459965,0.621708
259.791248,0.308744,57.704160,0.327947,0.412040,0.379620,-0.456611,0.442834,-0.371710,0.312729,-1.188601,0.105317,178.552202,20.057955,115.289351,20.184069,100.919023,19.737963,0.446106,0.126114,0.319992
259.893175,0.092443,57.769878,0.088892,-0.128583,0.113569,-0.013317,0.116212,-0.063429,0.090733,-0.699071,0.199538,1090.352870,18.093449,498.068825,18.595320,846.365215,17.429001,1.166319,0.501871,0.664448
260.003877,0.236966,57.753103,0.240688,0.420164,0.287221,0.309403,0.378339,-0.251187,0.246899,-1.017370,0.105051,242.406497,19.726006,108.930361,20.245670,185.168442,19.078978,1.166693,0.519665,0.647028
260.040480,0.063315,57.774812,0.059269,-0.013282,0.077842,-0.226587,0.088005,-0.085439,0.063796,-1.339258,0.142487,2046.145571,17.410025,831.185357,18.039297,1718.724476,16.659880,1.379417,0.629272,0.750145
260.161933,0.279342,57.783559,0.282221,0.357428,0.337598,-0.342148,0.415532,-0.237231,0.292467,-0.811138,0.086537,201.904966,19.924500,86.533622,20.495581,131.884562,19.447411,1.048170,0.571081,0.477089
260.167452,0.060487,57.785258,0.062493,0.037938,0.072449,-0.254092,0.095702,0.051750,0.062808,0.823944,0.128313,1888.986316,17.496796,766.064888,18.127878,1565.005012,16.761606,1.366272,0.631083,0.735189
260.155126,0.265734,57.790864,0.266862,0.238436,0.319307,-0.546217,0.382346,-0.003487,0.277734,-0.012557,0.121094,246.959391,19.705803,118.322013,20.155878,173.179421,19.151655,1.004223,0.450075,0.554148
260.089291,0.344542,57.796162,0.338690,0.155585,0.399315,-0.170812,0.511869,0.369905,0.370516,0.998352,0.143610,172.975904,20.092403,103.561170,20.300550,99.096520,19.757750,0.542801,0.208147,0.334654
260.007312,0.110438,57.779580,0.107113,0.010239,0.131846,-0.302533,0.164085,0.050415,0.112699,0.447338,0.145730,752.949118,18.495453,333.352538,19.031282,577.129916,17.844711,1.186571,0.535830,0.650742
260.011497,0.174378,57.815869,0.162035,-0.040595,0.220168,-0.278071,0.251061,0.267984,0.179741,1.490945,0.167525,432.235214,19.098066,209.183084,19.537226,320.924015,18.481890,1.055336,0.439159,0.616177
260.068729,0.173779,57.811194,0.161662,0.054065,0.213859,0.005819,0.244595,-0.263890,0.175596,-1.502820,0.125900,409.334434,19.157171,198.691310,19.593096,299.620133,18.556469,1.036627,0.435925,0.600702
260.088008,0.063187,57.824208,0.055366,-0.040292,0.079616,-0.026041,0.086231,-0.044002,0.062498,-0.704065,0.196708,2336.428104,17.265985,941.715438,17.903744,1988.663397,16.501492,1.402252,0.637758,0.764494
260.103798,0.230532,57.811858,0.231674,0.200716,0.276055,-0.829757,0.329117,0.007206,0.241410,0.029851,0.155122,270.362040,19.607502,131.578092,20.040583,194.058796,19.028063,1.012520,0.433081,0.579439
260.139724,0.054059,57.838763,0.051623,0.074071,0.064805,-0.303935,0.074359,0.020954,0.054633,0.383538,0.169738,2655.347772,17.127064,1008.346902,17.829517,2313.746054,16.337107,1.492411,0.702454,0.789957
260.048480,0.074736,57.826771,0.069792,-0.003863,0.093142,-0.272245,0.106608,-0.026072,0.075264,-0.346405,0.178826,1462.466562,17.774652,623.892617,18.350767,1197.829046,17.051908,1.298859,0.576115,0.722744
260.131937,0.081715,57.848616,0.082754,-0.042270,0.099121,-0.412013,0.114684,-0.094895,0.085720,-1.107028,0.167591,1269.505220,17.928280,552.595416,18.482525,1016.751871,17.229858,1.252666,0.554245,0.698421
260.115266,0.341072,57.850176,0.350311,-0.773748,0.413123,0.052561,0.503648,-0.321722,0.365048,-0.881313,0.088770,170.100251,20.110605,102.175506,20.315176,110.880988,19.635754,0.679422,0.204571,0.474852
260.119081,0.360178,57.860422,0.355488,-0.556708,0.475321,0.183470,0.515480,-0.351527,0.371744,-0.945617,0.087290,161.513096,20.166847,73.638688,20.670776,117.160655,19.575941,1.094835,0.503929,0.590906
259.713856,0.132456,57.704454,0.141237,0.055662,0.160615,-0.124068,0.200803,0.272549,0.140546,1.939215,0.115762,626.070545,18.695808,287.907432,19.190411,475.671167,18.054628,1.135782,0.494602,0.641180
259.733654,0.150079,57.729246,0.151905,0.066514,0.175813,0.124030,0.217332,0.173088,0.152722,1.133351,0.204751,581.255080,18.776449,265.834196,19.277016,421.044853,18.187075,1.089941,0.500566,0.589375
259.768352,0.379213,57.747451,0.422374,0.771213,0.460916,-0.601490,0.627346,-0.790858,0.406718,-1.944487,0.053895,158.633037,20.186382,106.749793,20.267624,95.510992,19.797762,0.469862,0.081242,0.388620
259.838289,0.199056,57.758265,0.207280,-0.090397,0.239292,-0.310928,0.276043,0.206909,0.205160,1.008525,0.189930,321.337975,19.419962,154.694940,19.864851,237.449568,18.808968,1.055883,0.444889,0.610994
259.848788,0.163134,57.789656,0.162188,-0.030377,0.194621,-0.276313,0.214362,-0.248996,0.164107,-1.517283,0.182699,448.190859,19.058710,218.256366,19.491125,326.532166,18.463081,1.028044,0.432415,0.595629
259.894479,0.103513,57.801379,0.110514,0.323949,0.124588,-0.120404,0.147017,-0.102521,0.108640,-0.943678,0.206427,876.332953,18.330694,414.334495,18.795164,647.576178,17.719667,1.075497,0.464470,0.611027
259.874424,0.117411,57.804628,0.116099,0.223856,0.148705,-0.059976,0.154762,-0.000460,0.121214,-0.003796,0.227368,777.634156,18.460428,351.285142,18.974392,634.978803,17.740997,1.233395,0.513964,0.719431
259.704783,0.394062,57.758187,0.380534,-0.415697,0.513388,0.067266,0.644540,-0.151787,0.363913,-0.417097,0.177737,188.979752,19.996328,95.389460,20.389791,131.798391,19.448120,0.941671,0.393463,0.548208
259.767913,0.135188,57.785736,0.137845,-0.027975,0.162808,-0.596423,0.182038,-0.024077,0.137054,-0.175673,0.208911,572.595339,18.792747,269.464053,19.262291,425.298194,18.176161,1.086130,0.469543,0.616587
259.764884,0.069526,57.778443,0.069398,0.230965,0.086367,-0.017547,0.100188,-0.082963,0.069469,-1.194250,0.266593,1902.652090,17.488968,785.327998,18.100914,1616.202796,16.726656,1.374258,0.611946,0.762312
259.736938,0.147062,57.774572,0.151239,-0.124666,0.179197,-0.362886,0.213971,0.005908,0.151163,0.039084,0.170169,564.198822,18.808786,267.902284,19.268600,432.762519,18.157272,1.111328,0.459814,0.651514
259.759092,0.358704,57.798461,0.367717,0.377413,0.432248,-0.403749,0.564532,-0.533667,0.383560,-1.391351,0.250777,179.383449,20.052912,100.222178,20.336132,98.873897,19.760191,0.575941,0.283220,0.292721
259.742775,0.050911,57.815997,0.051636,-0.017793,0.064565,-0.293002,0.072595,-0.031549,0.053293,-0.591995,0.197665,2660.362106,17.125015,1055.834549,17.779552,2269.482965,16.358078,1.421474,0.654537,0.766937
259.833307,0.100946,57.818018,0.104199,-0.131665,0.122574,-0.360706,0.138054,-0.027257,0.102686,-0.265437,0.209501,891.672565,18.311853,409.353973,18.808294,701.533258,17.632774,1.175520,0.496441,0.679079
259.886659,0.120144,57.830222,0.120732,-0.080070,0.153193,-0.245904,0.160988,0.073409,0.120236,0.610547,0.108329,730.269351,18.528660,302.432871,19.136971,570.459546,17.857334,1.279636,0.608311,0.671326
259.843826,0.117590,57.836945,0.126847,0.102398,0.154940,-0.130602,0.173020,-0.081279,0.125172,-0.649339,0.146261,673.037408,18.617270,283.472300,19.207266,522.081377,17.953550,1.253716,0.589996,0.663719
259.827620,0.115554,57.850958,0.125356,0.250490,0.149386,0.105953,0.170763,0.074627,0.123583,0.603861,0.134842,678.539667,18.608429,321.244556,19.071453,507.272981,17.984791,1.086662,0.463024,0.623638
259.935178,0.247002,57.790935,0.256252,-0.373024,0.287311,-0.333826,0.349532,0.248805,0.260933,0.953520,0.175547,256.659917,19.663971,125.907238,20.088415,195.245645,19.021442,1.066973,0.424444,0.642529
259.920690,0.298226,57.800957,0.302428,-0.188191,0.361616,-0.902529,0.415562,-0.185022,0.305524,-0.605588,0.148229,194.532503,19.964886,105.173512,20.283775,116.713612,19.580091,0.703684,0.318890,0.384794
259.948686,0.045100,57.810153,0.042727,-0.041006,0.057495,-0.198196,0.065625,0.007563,0.046529,0.162552,0.197587,3724.981703,16.759556,1398.227922,17.474598,3312.719651,15.947433,1.527164,0.715042,0.812122
259.990238,0.040575,57.834856,0.039458,0.025822,0.049672,-0.237343,0.059087,-0.027272,0.042696,-0.638760,0.161894,4247.362454,16.617069,1526.245221,17.379482,3923.384946,15.763743,1.615739,0.762413,0.853326
